id,breed
000bec180eb18c7604dcecc8fe0dba07,boston_bull
001513dfcb2ffafc82cccf4d8bbaba97,dingo
001cdf01b096e06d78e9e5112d419397,pekinese
00214f311d5d2247d5dfe4fe24b2303d,bluetick
0021f9ceb3235effd7fcde7f7538ed62,golden_retriever
002211c81b498ef88e1b40b9abf84e1d,bedlington_terrier
00290d3e1fdd27226ba27a8ce248ce85,bedlington_terrier
002a283a315af96eaea0e28e7163b21b,borzoi
003df8b8a8b05244b1d920bb6cf451f9,basenji
0042188c895a2f14ef64a918ed9c7b64,scottish_deerhound
004396df1acd0f1247b740ca2b14616e,shetland_sheepdog
0067dc3eab0b3c3ef0439477624d85d6,walker_hound
00693b8bc2470375cc744a6391d397ec,maltese_dog
006cc3ddb9dc1bd827479569fcdc52dc,bluetick
0075dc49dab4024d12fafe67074d8a81,norfolk_terrier
00792e341f3c6eb33663e415d0715370,african_hunting_dog
007b5a16db9d9ff9d7ad39982703e429,wire-haired_fox_terrier
007b8a07882822475a4ce6581e70b1f8,redbone
007ff9a78eba2aebb558afea3a51c469,lakeland_terrier
008887054b18ba3c7601792b6a453cc3,boxer
008b1271ed1addaccf93783b39deab45,doberman
008ba178d6dfc1a583617470d19c1673,otterhound
009509be3ca7cce0ff9e37c8b09b1125,otterhound
0097c6242c6f3071762d9f85c3ef1b2f,bedlington_terrier
00a338a92e4e7bf543340dc849230e75,dingo
00a366d4b4a9bbb6c8a63126697b7656,golden_retriever
00a862390341c5be090dd72bd2bc19ef,standard_schnauzer
00b7d114bc5166a629a3cc03d9329120,irish_water_spaniel
00ba244566e36e0af3d979320fd3017f,black-and-tan_coonhound
00bee065dcec471f26394855c5c2f3de,cairn
00ca18751837cd6a22813f8e221f7819,affenpinscher
00cc68a50b2d016a6b29af628ea4e04b,labrador_retriever
00ddcec076073cc96f82c27bf4548fbc,ibizan_hound
00e9ed3fab1d2032603d1a90e557976f,english_setter
00f34ac0a16ef43e6fd1de49a26081ce,walker_hound
00fa641312604199831755f96109fde7,weimaraner
00fda6ecca54efbac26e907be4b0b78b,giant_schnauzer
0100f55e4f0fe28f2c0465d3fc4b9897,golden_retriever
010d65bd29d246aea53d9849da142ccf,boston_bull
010e87fdf252645a827e37470e65e842,groenendael
011761e3ae8ec5e188e8f0bcb59bb8b6,lakeland_terrier
011bd7fd7c036dbb243d0e37329c77b7,irish_water_spaniel
011e06760794850c40f23d6426c40774,dhole
0120343862761d052d6a7ade81625c94,dingo
01268f0007876a692907bda89468184c,affenpinscher
012ff2d21dad14452ea16b4cda7eef4c,toy_poodle
013aed490e0e15a8989e12ae0d0ccfaa,border_terrier
013c43f40f0fb13fa25ac0c2a70fd48f,lakeland_terrier
013f8fdf6d638c7bb042f5f17e8a9fdc,tibetan_terrier
0140b05bfc2fd43f2819fab3d8566109,norwegian_elkhound
014c2b0cd8e3b517e649cecf8543b8fe,african_hunting_dog
0159b6457aac89f43d1c1931cdf7500b,irish_water_spaniel
015b363b062f602e7ec04ce28e640d05,walker_hound
015b4aa50dd9b4a0d26dc0c38f41b489,irish_water_spaniel
015d86b2fcb36f0fdfbe94a66c0e3400,wire-haired_fox_terrier
0161847d5bfae154af084993fa26a1a7,giant_schnauzer
0162107acd8f2588c0944b791d61bb0c,affenpinscher
0162b3e0144fb1d1ab82fbff3ace9938,shih-tzu
01680178ca6664294efb493a46014a82,irish_terrier
0169294085e94d1250587b38e4fbb532,kuvasz
016bcdb05e2d0e0878877df21b8c3cff,german_shepherd
0177a92a906192bfde8adbb8a237e524,greater_swiss_mountain_dog
018aae5768833c34e3df30d63429251e,basset
0192d7174233ebdb3d720000413829ac,australian_terrier
019c92d1ff56deb9d75d809a92bc84d8,schipperke
019ff93e03802e661577b5869e099dcb,rhodesian_ridgeback
01a3b064c56edbe3abf55051b16134d4,irish_setter
01a41985ab8209e750588fa348d635be,appenzeller
01b09bdac592b0eb9909dd105314ad3a,german_shepherd
01b35a06b00e4a832b935cf8d51303c1,bloodhound
01b36cb1b80ab8c3a7d2b7128ad21bdc,samoyed
01b6c2bd3053535a58d8de763cf06aa0,miniature_schnauzer
01b849a7e4fbc545f6b2806cb87ab371,brittany_spaniel
01c230ec18eed427cf5b1db1a833024d,english_setter
01d0f3692e576b3cde511285352aed4a,kelpie
01de1f7b7b4465a6d130a56746af66a6,papillon
01dffcb02d6cba7d2b101fcc93daa6f1,border_collie
01e2245b46eb747260ff80f1c892daef,brittany_spaniel
01e4d3d1cb704ed819bce35d22e716a7,appenzeller
01e787576c003930f96c966f9c3e1d44,scottish_deerhound
01ee3c7ff9bcaba9874183135877670e,entlebucher
01f397f16fb2d7d76fdbce4e2207c1a3,collie
01f429667104c0c5a5f321700f15435c,malamute
01f8540fb1084107a6eb3e528f82c1aa,welsh_springer_spaniel
0206c12e8984e3c8a166cc272de25d6f,chihuahua
0207803a6ce1bfad98e7f095c965e44a,border_terrier
020ecfccf3c900b01ce831abbf20b485,saluki
0214e2d616ec7eb7cb0d8c19a7f29e70,weimaraner
021b5a49189665c0442c19b5b33e8cf1,entlebucher
0229677aec75183a16de9d6f6658fae2,irish_terrier
022b34fd8734b39995a9f38a4f3e7b6b,maltese_dog
0234695e7a548e2ad1b2ac91d6486c1c,bloodhound
023e4e28415506e0deddcbd8f8bdab29,pug
0246f44bb123ce3f91c939861eb97fb7,standard_schnauzer
024ecfa590271db8616bfaa59159d7b2,malinois
024fc0be976885d5cfcf6770239a9001,english_setter
024fd994941146f8dfdb38a9b2b74efd,wire-haired_fox_terrier
02508e76981e1ba059d785704b4c480c,pug
0255a5bca3b9d91d4fdba8d7419b5e69,lakeland_terrier
025bab46ddcde249d5c52c660fea6d26,boxer
025d903b457b865fd29424916e42fbc2,rhodesian_ridgeback
0264c5fcaaba5e31082395476447b254,komondor
0267c5f1acbab52ae4a7927e0398612b,airedale
0270276158566af50ef48b1284c998d6,wire-haired_fox_terrier
02777bdfcf9f1a593af768e6616df4b3,english_setter
0287b3374c33346e2b41f73af3a36261,leonberg
029202b0cf0b5d6d48c6ce7b432409ef,giant_schnauzer
0294b42910cb8a8d8340e45d8aaf2953,mexican_hairless
0296633efc21006e3ce2af7eaeff04f7,irish_terrier
029ed6af5dcadfd105db9271e12ede14,rhodesian_ridgeback
02a3edc1d6aae095185131fe185478e0,saluki
02a8ed20109bd62bd5894f276c08c8a2,leonberg
02ad779f2721db9364d3bb68f5580582,bull_mastiff
02b1c50fb7315423a664f3ce68c94e30,dingo
02c48781eff39a66ae6dd8626e35809e,irish_setter
02c90d8109d9a48739b9887349d92b1f,airedale
02cc0d7c8b7b513b4325bda30dce222d,brittany_spaniel
02d45a238621c3f2cbde5c1d173ead1e,bull_mastiff
02d54f0dfb40038765e838459ae8c956,bernese_mountain_dog
02df8523833c432f90071f86dff69a8f,bluetick
02dfcd0a24a9c41070f4f94b4c9933ff,irish_terrier
02e7b5a86cec57f5935374946d4f5dc1,irish_terrier
02eef0f899b81ddf27a42641bc8db9ee,entlebucher
02ef5f19db8cf4da62016a1067bdc548,welsh_springer_spaniel
02f07e7e51662336a9d8c775a4eac5f4,miniature_schnauzer
02f3d5fd1eea0a2e6f4742bc54b51ba9,american_staffordshire_terrier
02f6152a9401568d695234d33bb6c37d,miniature_schnauzer
02ff77af410e966b7b661f6f0789d947,golden_retriever
0310a425f26d797634aadeb66bd63ef1,rhodesian_ridgeback
0311a6a51a414ba91f3ad8055170baa1,lhasa
0314048edbd08c8c50eb3c93281bd043,pekinese
031d3353588a81b42bcae74ff19571b0,cardigan
0325e6ba5b6afd3e0dd94c3a77b6de59,italian_greyhound
032620ae0f847d957d94d1fd76cb17e8,dhole
0326344e0d5181130c28d25edd5627e4,clumber
0326d40cc2b35521f1f3e73cabcf2a23,lakeland_terrier
032c14b2df4193004913b01ab48f87c6,border_collie
0341e3d7a4624d6a7b061fdc25b69044,irish_setter
0345638400c47bbd920474672562077e,scotch_terrier
03564fbb4aba93dd80e5c7cd76f28d28,walker_hound
035b459eb52acba2ae75bed041b368fe,groenendael
035f28d8ad34afaf7c8d276d6674bf8f,shih-tzu
035fe39454c2ddb2f6a37146cacf0ac0,border_terrier
0360d42966d191a5db4c4bb2e8c66229,lhasa
0365fe4e3e13a885c6b02ebbbf2d9173,cairn
0374e657c8b3b55579751adcaa7c8023,irish_setter
0379145880ad3978f9b80f0dc2c03fba,afghan_hound
037ac6cbd9c96d70e68917aa059b6aab,old_english_sheepdog
039bdddd8546f0fafdf984b810d1138b,saint_bernard
039e61713398f27d027480e4bd0056d1,leonberg
03ae71ff9e4c5ac97afdfa956ea5e191,borzoi
03b0e7ace52c10dc4878f60307cdebe3,saint_bernard
03b7320cf8054e57b499e01d1cde0644,walker_hound
03b9ab173e5862580909fee10f0ea46d,miniature_pinscher
03bc1c631e57ba87c85b98efd0912c00,bedlington_terrier
03bda5c85206a273eb978c7b9483df5f,eskimo_dog
03c1557464297ffffc8da977c4db7e68,standard_schnauzer
03c81a2e78dc915bc515fcb8aafd2f6f,cairn
03ca2c79345f4c27232ed5b0dc2821c2,otterhound
03cae0a6700c5cc4900e576034361e7a,groenendael
03da788cc7e5c111575daf04e7e3910c,toy_poodle
03dc61595ad9dbf49e3998cf586ca8cb,scottish_deerhound
03dd99e068f1f2283011cc305f5aaa9f,irish_wolfhound
03ddfa6f292b49e14ed6be5c58246701,malamute
03dfefdb2939388f7ca9578cb7c4a2b9,maltese_dog
03e1d2ee5fd90aef036c90a9e7f81177,bernese_mountain_dog
03eb844e1d5aa5addaab20298b1b70c3,greater_swiss_mountain_dog
03edf850d74d43b2587991ecb673fb33,scotch_terrier
03f2301867ca4d744773c4c06aa61d3c,borzoi
03f2f64aebc483ef8e5e17aba7311aa6,brabancon_griffon
03f5b638b8f1c83d3097786e40992ff9,toy_terrier
03f6435dc8a5e760d19e67831c6034fb,chow
040fef64640b89c53f161b6c5215b78b,affenpinscher
041a54577da744348d4da8094e882cd9,flat-coated_retriever
041b3b8a40b587a486276ac15edd9eaf,samoyed
041d0d6a8d110b35a3795dd5c68f9a36,american_staffordshire_terrier
04254919cc15c6867cccfd738a926999,walker_hound
0428e1ae313156ec06dc42096cf1372c,norwegian_elkhound
042e83e82315bada78f2681d030b0d28,bull_mastiff
042ecd9a978c2ee48d17f7f781621ac9,collie
0434ddceef3eea9c757c8e9557a2d698,english_setter
0440acb104d7346ccc9bba0716603f6a,norwich_terrier
0440e760e55c4d6bed536fbc0273801a,soft-coated_wheaten_terrier
044644ffbec4b6d402eb824532478811,african_hunting_dog
044d904b00ce11cec6e493226c39a4e2,staffordshire_bullterrier
044efbf8ab3e7195b8ea3c92ef0d48df,black-and-tan_coonhound
044f7e60953230fa45e4367073d96693,clumber
0450c3899b7ca7cac31406a52c7bc74e,soft-coated_wheaten_terrier
0457342c36e7e7d103fa4b286a1d62f8,english_foxhound
045d421a681a7da04ff668992a8b4c3e,gordon_setter
045ea2f41120606e2c5ae1315cebfb46,siberian_husky
046b28d8ac6f7beb3f63159ecaf4cbb6,papillon
046d8f04a5a42872774110c6a2db1224,doberman
047d9a7dc7205c76e5487d6fc5f4a666,ibizan_hound
0484a6cc686a07e1edacd0fb44b1d965,affenpinscher
0486732311e9d60e8712f1dc33c4ebe0,bloodhound
0490b67cb414d527d6c21052b1e3b5dd,welsh_springer_spaniel
0496d4170e295688e8d6929b239dd4fb,border_terrier
049a406bfac63012d757167c084ced1b,siberian_husky
04a191172e090876d3f180fc318038f0,malinois
04a3f5dc6d985601f354ab4434645d83,greater_swiss_mountain_dog
04b5834c3a969c6308ce157c547bb313,basenji
04be608c9c005d9aa0224fe08554e4be,siberian_husky
04c3bdfec0c7f082c7e697c26be9e020,bloodhound
04cce0cd53c6f01d242a49e43de513a1,clumber
04d2dc1f2804c748b1aa71954bb45d38,newfoundland
04d3a777baa532f7558a860393c4537f,newfoundland
04d4918090b0c2a7b965ff58f13b2ecf,cardigan
